Year,Area of Residence,VALUE
2008,Carlow,20.7
2008,Dublin City,14.5
2008,South Dublin,18.1
2008,Fingal,21.7
2008,Dun Laoghaire-Rathdown,13.5
2008,Kildare,20.5
2008,Kilkenny,15.5
2008,Laois,19.5
2008,Longford,20.2
2008,Louth,17.1
2008,Meath,21.2
2008,Offaly,17.1
2008,Westmeath,18.0
2008,Wexford,18.4
2008,Wicklow,19.0
2008,Clare,15.9
2008,Cork City,12.9
2008,Cork County,18.0
2008,Kerry,14.2
2008,Limerick City,15.0
2008,Limerick County,17.1
2008,Tipperary,
2008,North Tipperary,18.3
2008,South Tipperary,14.3
2008,Waterford City,18.7
2008,Waterford County,16.3
2008,Galway City,14.0
2008,Galway County,18.6
2008,Leitrim,16.9
2008,Mayo,14.6
2008,Roscommon,14.8
2008,Sligo,15.2
2008,Ulster (part of),15.8
2008,Cavan,18.9
2008,Donegal,14.7
2008,Monaghan,15.1
2008,Border,16.0
2008,Midland,18.1
2008,West,16.3
2008,Dublin,16.8
2008,Mid-East,19.6
2008,Mid-West,16.8
2008,South-East,16.9
2008,South-West,16.2
2009,Carlow,18.8
2009,Dublin City,15.0
2009,South Dublin,17.9
2009,Fingal,21.8
2009,Dun Laoghaire-Rathdown,14.1
2009,Kildare,20.5
2009,Kilkenny,15.4
2009,Laois,19.9
2009,Longford,19.8
2009,Louth,16.2
2009,Meath,20.5
2009,Offaly,16.9
2009,Westmeath,17.8
2009,Wexford,17.4
2009,Wicklow,18.6
2009,Clare,16.3
2009,Cork City,14.0
2009,Cork County,17.9
2009,Kerry,14.8
2009,Limerick City,14.0
2009,Limerick County,17.6
2009,Tipperary,
2009,North Tipperary,17.9
2009,South Tipperary,15.5
2009,Waterford City,17.5
2009,Waterford County,15.8
2009,Galway City,13.7
2009,Galway County,17.5
2009,Leitrim,16.0
2009,Mayo,14.0
2009,Roscommon,14.9
2009,Sligo,15.5
2009,Ulster (part of),15.7
2009,Cavan,18.3
2009,Donegal,15.2
2009,Monaghan,14.2
2009,Border,15.7
2009,Midland,18.1
2009,West,15.7
2009,Dublin,17.1
2009,Mid-East,19.3
2009,Mid-West,16.9
2009,South-East,16.4
2009,South-West,16.5
2010,Carlow,18.1
2010,Dublin City,16.0
2010,South Dublin,18.1
2010,Fingal,20.2
2010,Dun Laoghaire-Rathdown,13.8
2010,Kildare,19.1
2010,Kilkenny,15.2
2010,Laois,17.9
2010,Longford,17.5
2010,Louth,16.0
2010,Meath,19.6
2010,Offaly,16.3
2010,Westmeath,17.8
2010,Wexford,15.7
2010,Wicklow,18.8
2010,Clare,14.4
2010,Cork City,14.1
2010,Cork County,17.1
2010,Kerry,13.5
2010,Limerick City,13.6
2010,Limerick County,17.5
2010,Tipperary,
2010,North Tipperary,17.5
2010,South Tipperary,13.6
2010,Waterford City,18.8
2010,Waterford County,14.8
2010,Galway City,16.1
2010,Galway County,16.6
2010,Leitrim,14.9
2010,Mayo,14.2
2010,Roscommon,14.1
2010,Sligo,14.5
2010,Ulster (part of),14.8
2010,Cavan,16.8
2010,Donegal,13.9
2010,Monaghan,14.6
2010,Border,15.1
2010,Midland,17.3
2010,West,15.5
2010,Dublin,17.0
2010,Mid-East,19.2
2010,Mid-West,16.0
2010,South-East,15.7
2010,South-West,15.8
2011,Carlow,18.1
2011,Dublin City,15.7
2011,South Dublin,18.9
2011,Fingal,20.2
2011,Dun Laoghaire-Rathdown,13.8
2011,Kildare,18.3
2011,Kilkenny,14.9
2011,Laois,16.6
2011,Longford,16.1
2011,Louth,15.3
2011,Meath,19.0
2011,Offaly,16.2
2011,Westmeath,16.1
2011,Wexford,15.7
2011,Wicklow,16.5
2011,Clare,14.8
2011,Cork City,13.5
2011,Cork County,16.7
2011,Kerry,14.0
2011,Limerick City,13.6
2011,Limerick County,17.2
2011,Tipperary,
2011,North Tipperary,16.8
2011,South Tipperary,13.8
2011,Waterford City,17.9
2011,Waterford County,14.4
2011,Galway City,15.6
2011,Galway County,16.3
2011,Leitrim,14.4
2011,Mayo,13.9
2011,Roscommon,13.5
2011,Sligo,14.3
