Year,CountyName,BirthRate
2008 ,Carlow,20.70 
2008 ,Cavan,18.90 
2008 ,Clare,15.90 
2008 ,Cork,15.45 
2008 ,Donegal,14.70 
2008 ,Dublin,16.92 
2008 ,Galway,16.30 
2008 ,Kerry,14.20 
2008 ,Kildare,20.50 
2008 ,Kilkenny,15.50 
2008 ,Laois,19.50 
2008 ,Leitrim,16.90 
2008 ,Limerick,16.05 
2008 ,Longford,20.20 
2008 ,Louth,17.10 
2008 ,Mayo,14.60 
2008 ,Meath,21.20 
2008 ,Monaghan,15.10 
2008 ,Offaly,17.10 
2008 ,Roscommon,14.80 
2008 ,Sligo,15.20 
2008 ,Tipperary,16.30 
2008 ,Waterford,17.50 
2008 ,Westmeath,18.00 
2008 ,Wexford,18.40 
2008 ,Wicklow,19.00 
2009 ,Carlow,18.80 
2009 ,Cavan,18.30 
2009 ,Clare,16.30 
2009 ,Cork,15.95 
2009 ,Donegal,15.20 
2009 ,Dublin,17.18 
2009 ,Galway,15.60 
2009 ,Kerry,14.80 
2009 ,Kildare,20.50 
2009 ,Kilkenny,15.40 
2009 ,Laois,19.90 
2009 ,Leitrim,16.00 
2009 ,Limerick,15.80 
2009 ,Longford,19.80 
2009 ,Louth,16.20 
2009 ,Mayo,14.00 
2009 ,Meath,20.50 
2009 ,Monaghan,14.20 
2009 ,Offaly,16.90 
2009 ,Roscommon,14.90 
2009 ,Sligo,15.50 
2009 ,Tipperary,16.70 
2009 ,Waterford,16.65 
2009 ,Westmeath,17.80 
2009 ,Wexford,17.40 
2009 ,Wicklow,18.60 
2010 ,Carlow,18.10 
2010 ,Cavan,16.80 
2010 ,Clare,14.40 
2010 ,Cork,15.60 
2010 ,Donegal,13.90 
2010 ,Dublin,17.02 
2010 ,Galway,16.35 
2010 ,Kerry,13.50 
2010 ,Kildare,19.10 
2010 ,Kilkenny,15.20 
2010 ,Laois,17.90 
2010 ,Leitrim,14.90 
2010 ,Limerick,15.55 
2010 ,Longford,17.50 
2010 ,Louth,16.00 
2010 ,Mayo,14.20 
2010 ,Meath,19.60 
2010 ,Monaghan,14.60 
2010 ,Offaly,16.30 
2010 ,Roscommon,14.10 
2010 ,Sligo,14.50 
2010 ,Tipperary,15.55 
2010 ,Waterford,16.80 
2010 ,Westmeath,17.80 
2010 ,Wexford,15.70 
2010 ,Wicklow,18.80 
2011 ,Carlow,18.10 
2011 ,Cavan,17.30 
2011 ,Clare,14.80 
2011 ,Cork,15.10 
2011 ,Donegal,13.50 
2011 ,Dublin,17.14 
2011 ,Galway,15.95 
2011 ,Kerry,14.00 
2011 ,Kildare,18.30 
2011 ,Kilkenny,14.90 
2011 ,Laois,16.60 
2011 ,Leitrim,14.40 
2011 ,Limerick,15.40 
2011 ,Longford,16.10 
2011 ,Louth,15.30 
2011 ,Mayo,13.90 
2011 ,Meath,19.00 
2011 ,Monaghan,14.50 
2011 ,Offaly,16.20 
2011 ,Roscommon,13.50 
2011 ,Sligo,14.30 
2011 ,Tipperary,15.30 
2011 ,Waterford,16.15 
2011 ,Westmeath,16.10 
2011 ,Wexford,15.70 
2011 ,Wicklow,16.50 
2012 ,Carlow,16.80 
2012 ,Cavan,15.70 
2012 ,Clare,14.50 
2012 ,Cork,14.30 
2012 ,Donegal,12.80 
2012 ,Dublin,16.86 
2012 ,Galway,15.95 
2012 ,Kerry,13.50 
2012 ,Kildare,17.20 
2012 ,Kilkenny,14.50 
2012 ,Laois,15.70 
2012 ,Leitrim,14.20 
2012 ,Limerick,15.00 
2012 ,Longford,16.30 
2012 ,Louth,15.20 
2012 ,Mayo,13.40 
2012 ,Meath,17.10 
2012 ,Monaghan,13.70 
2012 ,Offaly,15.00 
2012 ,Roscommon,13.40 
2012 ,Sligo,14.80 
2012 ,Tipperary,13.95 
2012 ,Waterford,15.05 
2012 ,Westmeath,16.70 
2012 ,Wexford,15.20 
2012 ,Wicklow,16.30 
2013 ,Carlow,15.80 
2013 ,Cavan,15.50 
2013 ,Clare,12.80 
2013 ,Cork,14.05 
2013 ,Donegal,12.30 
2013 ,Dublin,16.26 
2013 ,Galway,15.60 
2013 ,Kerry,12.20 
2013 ,Kildare,16.10 
2013 ,Kilkenny,13.80 
2013 ,Laois,14.80 
2013 ,Leitrim,14.40 
2013 ,Limerick,14.65 
2013 ,Longford,15.30 
2013 ,Louth,15.90 
2013 ,Mayo,13.10 
2013 ,Meath,16.90 
2013 ,Monaghan,14.20 
2013 ,Offaly,13.70 
2013 ,Roscommon,13.20 
2013 ,Sligo,13.80 
2013 ,Tipperary,14.15 
2013 ,Waterford,15.30 
2013 ,Westmeath,15.20 
2013 ,Wexford,13.90 
2013 ,Wicklow,14.90 
2014 ,Carlow,16.80 
2014 ,Cavan,14.70 
2014 ,Clare,12.50 
2014 ,Cork,13.80 
2014 ,Donegal,11.70 
2014 ,Dublin,15.96 
2014 ,Galway,15.10 
2014 ,Kerry,11.80 
2014 ,Kildare,15.90 
2014 ,Kilkenny,13.60 
2014 ,Laois,14.30 
2014 ,Leitrim,12.70 
2014 ,Limerick,14.70 
2014 ,Longford,14.10 
2014 ,Louth,15.10 
2014 ,Mayo,12.80 
2014 ,Meath,15.70 
2014 ,Monaghan,13.70 
2014 ,Offaly,14.50 
2014 ,Roscommon,12.60 
2014 ,Sligo,12.90 
2014 ,Tipperary,13.10 
2014 ,Waterford,14.45 
2014 ,Westmeath,15.40 
2014 ,Wexford,14.20 
2014 ,Wicklow,14.40 
2015 ,Carlow,14.50 
2015 ,Cavan,14.20 
2015 ,Clare,13.00 
2015 ,Cork,13.65 
2015 ,Donegal,11.90 
2015 ,Dublin,14.82 
2015 ,Galway,14.30 
2015 ,Kerry,11.50 
2015 ,Kildare,15.30 
2015 ,Kilkenny,12.70 
2015 ,Laois,14.20 
2015 ,Leitrim,13.00 
2015 ,Limerick,14.25 
2015 ,Longford,14.40 
2015 ,Louth,14.70 
2015 ,Mayo,12.10 
2015 ,Meath,14.50 
2015 ,Monaghan,13.30 
2015 ,Offaly,12.70 
2015 ,Roscommon,11.90 
2015 ,Sligo,12.30 
2015 ,Tipperary,13.30 
2015 ,Waterford,13.55 
2015 ,Westmeath,14.10 
2015 ,Wexford,13.50 
2015 ,Wicklow,14.10 
2016 ,Carlow,13.30 
2016 ,Cavan,14.10 
2016 ,Clare,12.40 
2016 ,Cork,12.60 
2016 ,Donegal,11.90 
2016 ,Dublin,14.36 
2016 ,Galway,14.20 
2016 ,Kerry,11.70 
2016 ,Kildare,14.70 
2016 ,Kilkenny,12.10 
2016 ,Laois,13.30 
2016 ,Leitrim,13.00 
2016 ,Limerick,13.85 
2016 ,Longford,14.90 
2016 ,Louth,13.90 
2016 ,Mayo,11.90 
2016 ,Meath,14.10 
