Year,Area of Residence,VALUE,CountyName,BirthRate
2008,Carlow,20.7,Carlow,20.7
2008,Kildare,20.5,Kildare,20.5
2008,Kilkenny,15.5,Kilkenny,15.5
2008,Laois,19.5,Laois,19.5
2008,Longford,20.2,Longford,20.2
2008,Louth,17.1,Louth,17.1
2008,Meath,21.2,Meath,21.2
2008,Offaly,17.1,Offaly,17.1
2008,Westmeath,18.0,Westmeath,18.0
2008,Wexford,18.4,Wexford,18.4
2008,Wicklow,19.0,Wicklow,19.0
2008,Clare,15.9,Clare,15.9
2008,Cork City,12.9,Cork,12.9
2008,Cork County,18.0,Cork,18.0
2008,Kerry,14.2,Kerry,14.2
2008,Limerick City,15.0,Limerick,15.0
2008,Limerick County,17.1,Limerick,17.1
2008,North Tipperary,18.3,Tipperary,18.3
2008,South Tipperary,14.3,Tipperary,14.3
2008,Waterford City,18.7,Waterford,18.7
2008,Waterford County,16.3,Waterford,16.3
2008,Galway City,14.0,Galway,14.0
2008,Galway County,18.6,Galway,18.6
2008,Leitrim,16.9,Leitrim,16.9
2008,Mayo,14.6,Mayo,14.6
2008,Roscommon,14.8,Roscommon,14.8
2008,Sligo,15.2,Sligo,15.2
2008,Cavan,18.9,Cavan,18.9
2008,Donegal,14.7,Donegal,14.7
2008,Monaghan,15.1,Monaghan,15.1
2009,Carlow,18.8,Carlow,18.8
2009,Kildare,20.5,Kildare,20.5
2009,Kilkenny,15.4,Kilkenny,15.4
2009,Laois,19.9,Laois,19.9
2009,Longford,19.8,Longford,19.8
2009,Louth,16.2,Louth,16.2
2009,Meath,20.5,Meath,20.5
2009,Offaly,16.9,Offaly,16.9
2009,Westmeath,17.8,Westmeath,17.8
2009,Wexford,17.4,Wexford,17.4
2009,Wicklow,18.6,Wicklow,18.6
2009,Clare,16.3,Clare,16.3
2009,Cork City,14.0,Cork,14.0
2009,Cork County,17.9,Cork,17.9
2009,Kerry,14.8,Kerry,14.8
2009,Limerick City,14.0,Limerick,14.0
2009,Limerick County,17.6,Limerick,17.6
2009,North Tipperary,17.9,Tipperary,17.9
2009,South Tipperary,15.5,Tipperary,15.5
2009,Waterford City,17.5,Waterford,17.5
