Year,CountyName,BirthRate
2008,CARLOW,20.7
2008,CAVAN,18.9
2008,CLARE,15.9
2008,CORK,15.45
2008,DONEGAL,14.7
2008,DUBLIN,16.92
2008,GALWAY,16.3
2008,KERRY,14.2
2008,KILDARE,20.5
2008,KILKENNY,15.5
2008,LAOIS,19.5
2008,LEITRIM,16.9
2008,LIMERICK,16.05
2008,LONGFORD,20.2
2008,LOUTH,17.1
2008,MAYO,14.6
2008,MEATH,21.2
2008,MONAGHAN,15.1
2008,OFFALY,17.1
2008,ROSCOMMON,14.8
2008,SLIGO,15.2
2008,TIPPERARY,16.3
2008,WATERFORD,17.5
2008,WESTMEATH,18.0
2008,WEXFORD,18.4
2008,WICKLOW,19.0
2009,CARLOW,18.8
2009,CAVAN,18.3
2009,CLARE,16.3
2009,CORK,15.95
2009,DONEGAL,15.2
2009,DUBLIN,17.18
2009,GALWAY,15.6
2009,KERRY,14.8
2009,KILDARE,20.5
2009,KILKENNY,15.4
2009,LAOIS,19.9
2009,LEITRIM,16.0
2009,LIMERICK,15.8
2009,LONGFORD,19.8
2009,LOUTH,16.2
2009,MAYO,14.0
2009,MEATH,20.5
2009,MONAGHAN,14.2
2009,OFFALY,16.9
2009,ROSCOMMON,14.9
2009,SLIGO,15.5
2009,TIPPERARY,16.7
2009,WATERFORD,16.65
2009,WESTMEATH,17.8
2009,WEXFORD,17.4
2009,WICKLOW,18.6
2010,CARLOW,18.1
2010,CAVAN,16.8
2010,CLARE,14.4
2010,CORK,15.6
2010,DONEGAL,13.9
2010,DUBLIN,17.02
2010,GALWAY,16.35
2010,KERRY,13.5
2010,KILDARE,19.1
2010,KILKENNY,15.2
2010,LAOIS,17.9
2010,LEITRIM,14.9
2010,LIMERICK,15.55
2010,LONGFORD,17.5
2010,LOUTH,16.0
2010,MAYO,14.2
2010,MEATH,19.6
2010,MONAGHAN,14.6
2010,OFFALY,16.3
2010,ROSCOMMON,14.1
2010,SLIGO,14.5
2010,TIPPERARY,15.55
2010,WATERFORD,16.8
2010,WESTMEATH,17.8
2010,WEXFORD,15.7
2010,WICKLOW,18.8
2011,CARLOW,18.1
2011,CAVAN,17.3
2011,CLARE,14.8
2011,CORK,15.1
2011,DONEGAL,13.5
2011,DUBLIN,17.14
2011,GALWAY,15.95
2011,KERRY,14.0
2011,KILDARE,18.3
2011,KILKENNY,14.9
2011,LAOIS,16.6
2011,LEITRIM,14.4
2011,LIMERICK,15.4
2011,LONGFORD,16.1
2011,LOUTH,15.3
2011,MAYO,13.9
2011,MEATH,19.0
2011,MONAGHAN,14.5
2011,OFFALY,16.2
2011,ROSCOMMON,13.5
2011,SLIGO,14.3
2011,TIPPERARY,15.3
2011,WATERFORD,16.15
2011,WESTMEATH,16.1
2011,WEXFORD,15.7
2011,WICKLOW,16.5
2012,CARLOW,16.8
2012,CAVAN,15.7
2012,CLARE,14.5
2012,CORK,14.3
2012,DONEGAL,12.8
2012,DUBLIN,16.86
2012,GALWAY,15.95
2012,KERRY,13.5
2012,KILDARE,17.2
2012,KILKENNY,14.5
2012,LAOIS,15.7
2012,LEITRIM,14.2
2012,LIMERICK,15.0
2012,LONGFORD,16.3
2012,LOUTH,15.2
2012,MAYO,13.4
2012,MEATH,17.1
2012,MONAGHAN,13.7
2012,OFFALY,15.0
2012,ROSCOMMON,13.4
2012,SLIGO,14.8
2012,TIPPERARY,13.95
2012,WATERFORD,15.05
2012,WESTMEATH,16.7
2012,WEXFORD,15.2
2012,WICKLOW,16.3
2013,CARLOW,15.8
2013,CAVAN,15.5
2013,CLARE,12.8
2013,CORK,14.05
2013,DONEGAL,12.3
2013,DUBLIN,16.26
2013,GALWAY,15.6
2013,KERRY,12.2
2013,KILDARE,16.1
2013,KILKENNY,13.8
2013,LAOIS,14.8
2013,LEITRIM,14.4
2013,LIMERICK,14.65
2013,LONGFORD,15.3
2013,LOUTH,15.9
2013,MAYO,13.1
2013,MEATH,16.9
2013,MONAGHAN,14.2
2013,OFFALY,13.7
2013,ROSCOMMON,13.2
2013,SLIGO,13.8
2013,TIPPERARY,14.15
2013,WATERFORD,15.3
2013,WESTMEATH,15.2
2013,WEXFORD,13.9
2013,WICKLOW,14.9
2014,CARLOW,16.8
2014,CAVAN,14.7
2014,CLARE,12.5
2014,CORK,13.8
2014,DONEGAL,11.7
2014,DUBLIN,15.96
2014,GALWAY,15.1
2014,KERRY,11.8
2014,KILDARE,15.9
2014,KILKENNY,13.6
2014,LAOIS,14.3
2014,LEITRIM,12.7
2014,LIMERICK,14.7
2014,LONGFORD,14.1
2014,LOUTH,15.1
2014,MAYO,12.8
2014,MEATH,15.7
2014,MONAGHAN,13.7
2014,OFFALY,14.5
2014,ROSCOMMON,12.6
2014,SLIGO,12.9
2014,TIPPERARY,13.1
2014,WATERFORD,14.45
2014,WESTMEATH,15.4
2014,WEXFORD,14.2
2014,WICKLOW,14.4
2015,CARLOW,14.5
2015,CAVAN,14.2
2015,CLARE,13.0
2015,CORK,13.65
2015,DONEGAL,11.9
2015,DUBLIN,14.82
2015,GALWAY,14.3
2015,KERRY,11.5
2015,KILDARE,15.3
2015,KILKENNY,12.7
2015,LAOIS,14.2
2015,LEITRIM,13.0
2015,LIMERICK,14.25
2015,LONGFORD,14.4
2015,LOUTH,14.7
2015,MAYO,12.1
2015,MEATH,14.5
2015,MONAGHAN,13.3
2015,OFFALY,12.7
2015,ROSCOMMON,11.9
2015,SLIGO,12.3
2015,TIPPERARY,13.3
2015,WATERFORD,13.55
2015,WESTMEATH,14.1
2015,WEXFORD,13.5
2015,WICKLOW,14.1
2016,CARLOW,13.3
2016,CAVAN,14.1
2016,CLARE,12.4
2016,CORK,12.6
2016,DONEGAL,11.9
2016,DUBLIN,14.36
2016,GALWAY,14.2
2016,KERRY,11.7
2016,KILDARE,14.7
2016,KILKENNY,12.1
2016,LAOIS,13.3
2016,LEITRIM,13.0
2016,LIMERICK,13.85
2016,LONGFORD,14.9
2016,LOUTH,13.9
2016,MAYO,11.9
2016,MEATH,14.1
2016,MONAGHAN,13.1
2016,OFFALY,12.7
2016,ROSCOMMON,11.7
2016,SLIGO,12.0
2016,TIPPERARY,12.85
2016,WATERFORD,12.6
2016,WESTMEATH,14.1
2016,WEXFORD,12.6
2016,WICKLOW,13.4
2017,CARLOW,13.4
2017,CAVAN,13.7
2017,CLARE,11.9
2017,CORK,12.05
2017,DONEGAL,11.4
2017,DUBLIN,13.74
2017,GALWAY,12.75
2017,KERRY,11.2
2017,KILDARE,14.0
2017,KILKENNY,11.7
2017,LAOIS,13.9
2017,LEITRIM,12.3
2017,LIMERICK,13.25
2017,LONGFORD,13.1
2017,LOUTH,13.3
2017,MAYO,11.4
2017,MEATH,13.6
2017,MONAGHAN,12.4
2017,OFFALY,12.7
2017,ROSCOMMON,11.7
2017,SLIGO,11.3
2017,TIPPERARY,12.45
2017,WATERFORD,12.0
2017,WESTMEATH,14.2
2017,WEXFORD,12.6
2017,WICKLOW,12.8
2018,CARLOW,14.3
2018,CAVAN,13.2
2018,CLARE,11.4
2018,CORK,11.85
2018,DONEGAL,11.6
2018,DUBLIN,13.16
2018,GALWAY,12.6
2018,KERRY,11.0
2018,KILDARE,13.3
2018,KILKENNY,11.1
